fid1	iid1	fid2	iid2	total_ibd_cm	num_segments	max_segment_cm	proportion_shared	predicted_relationship
HG00578	HG00578	HG00579	HG00579	60.94	7	30.794	1.1079999999999999	full-sibling
HG00578	HG00578	HG00581	HG00581	96.187	16	8.954	1.7488545454545454	full-sibling
HG00578	HG00578	HG00582	HG00582	63.722	8	31.684	1.1585818181818182	full-sibling
HG00578	HG00578	HG00607	HG00607	22.78	3	9.697	0.4141818181818182	full-sibling
HG00578	HG00578	HG00609	HG00609	24.83	2	18.506	0.45145454545454544	full-sibling
HG00578	HG00578	HG00635	HG00635	65.42	10	16.968	1.1894545454545455	full-sibling
HG00578	HG00578	HG00636	HG00636	50.217999999999996	5	31.9	0.9130545454545453	full-sibling
HG00579	HG00579	HG00581	HG00581	41.759	7	8.315	0.7592545454545455	full-sibling
HG00579	HG00579	HG00582	HG00582	16.545	3	7.789	0.3008181818181819	second-degree
HG00579	HG00579	HG00584	HG00584	44.488	6	14.631	0.8088727272727273	full-sibling
HG00579	HG00579	HG00595	HG00595	4.152	1	4.152	0.0754909090909091	unrelated
HG00579	HG00579	HG00597	HG00597	5.758	1	5.758	0.10469090909090908	third-degree
HG00579	HG00579	HG00607	HG00607	5.439	1	5.439	0.0988909090909091	third-degree
HG00579	HG00579	HG00609	HG00609	7.789	1	7.789	0.1416181818181818	third-degree
HG00579	HG00579	HG00635	HG00635	17.759999999999998	3	8.113	0.32290909090909087	second-degree
HG00580	HG00580	HG00582	HG00582	50.442	7	15.961	0.9171272727272727	full-sibling
HG00580	HG00580	HG02122	HG02122	3.04	1	3.04	0.05527272727272727	unrelated
HG00581	HG00581	HG00582	HG00582	64.367	8	12.32	1.170309090909091	full-sibling
HG00581	HG00581	HG00607	HG00607	20.159	3	8.464	0.3665272727272727	full-sibling
HG00581	HG00581	HG00609	HG00609	22.053	3	8.464	0.40096363636363636	full-sibling
HG00581	HG00581	HG00635	HG00635	73.639	11	12.32	1.338890909090909	full-sibling
HG00581	HG00581	HG00636	HG00636	46.533	6	12.32	0.8460545454545455	full-sibling
HG00582	HG00582	HG00607	HG00607	23.012	3	9.143	0.4184	full-sibling
HG00582	HG00582	HG00609	HG00609	26.92	2	17.952	0.4894545454545455	full-sibling
HG00582	HG00582	HG00635	HG00635	58.189	5	25.232	1.0579818181818181	full-sibling
HG00582	HG00582	HG00636	HG00636	46.586	1	46.586	0.8470181818181818	parent-child
HG00583	HG00583	HG00585	HG00585	39.607	6	10.501	0.7201272727272727	full-sibling
HG00584	HG00584	HG00585	HG00585	50.105	7	14.631	0.9109999999999999	full-sibling
HG00584	HG00584	HG00595	HG00595	14.938	3	7.133	0.2716	second-degree
HG00584	HG00584	HG00597	HG00597	18.396	2	13.094	0.3344727272727273	second-degree
HG00585	HG00585	HG00595	HG00595	13.84	2	7.133	0.25163636363636366	second-degree
HG00585	HG00585	HG00597	HG00597	15.963	1	15.963	0.2902363636363636	second-degree
HG00589	HG00589	HG00591	HG00591	31.619	6	8.789	0.5748909090909091	full-sibling
HG00590	HG00590	HG00591	HG00591	42.586	6	15.124	0.774290909090909	full-sibling
HG00592	HG00592	HG00594	HG00594	35.46	6	9.546	0.6447272727272727	full-sibling
HG00593	HG00593	HG00594	HG00594	44.341	8	9.656	0.8062	full-sibling
HG00595	HG00595	HG00597	HG00597	50.152	8	10.259	0.9118545454545455	full-sibling
HG00596	HG00596	HG00597	HG00597	51.085	7	14.906	0.9288181818181819	full-sibling
HG00596	HG00596	HG02032	HG02032	3.142	1	3.142	0.05712727272727273	unrelated
HG00597	HG00597	HG00626	HG00626	3.41	1	3.41	0.062	unrelated
HG00607	HG00607	HG00609	HG00609	53.116	7	15.451	0.9657454545454546	full-sibling
HG00607	HG00607	HG00635	HG00635	23.002	4	8.98	0.4182181818181818	full-sibling
HG00607	HG00607	HG00636	HG00636	17.002000000000002	2	9.358	0.30912727272727275	second-degree
HG00608	HG00608	HG00609	HG00609	48.141999999999996	9	8.567	0.8753090909090908	full-sibling
HG00609	HG00609	HG00635	HG00635	25.192	3	11.952	0.45803636363636363	full-sibling
HG00609	HG00609	HG00636	HG00636	18.167	1	18.167	0.33030909090909094	second-degree
HG00610	HG00610	HG00612	HG00612	38.903999999999996	6	10.501	0.7073454545454545	full-sibling
HG00611	HG00611	HG00612	HG00612	53.626999999999995	9	8.479	0.9750363636363636	full-sibling
HG00613	HG00613	HG00615	HG00615	41.055	9	7.253	0.7464545454545455	full-sibling
HG00614	HG00614	HG00615	HG00615	37.724999999999994	7	8.818	0.6859090909090908	full-sibling
HG00619	HG00619	HG00621	HG00621	53.144	6	15.961	0.9662545454545455	full-sibling
HG00619	HG00619	HG00626	HG00626	3.73	1	3.73	0.06781818181818182	unrelated
HG00619	HG00619	HG00627	HG00627	3.73	1	3.73	0.06781818181818182	unrelated
