fid1	iid1	fid2	iid2	total_ibd_cm	num_segments	predicted_relationship
HG00641	HG00641	HG00740	HG00740	3.359	1	unrelated
HG00641	HG00641	HG01064	HG01064	3.546	1	unrelated
HG00641	HG00641	HG01072	HG01072	3.723	1	unrelated
HG00641	HG00641	HG01102	HG01102	6.104	1	third-degree
HG00641	HG00641	HG01164	HG01164	3.723	1	unrelated
HG00641	HG00641	HG01173	HG01173	3.509	1	unrelated
HG00641	HG00641	HG01176	HG01176	4.681	1	unrelated
HG00641	HG00641	HG01197	HG01197	3.723	1	unrelated
HG00641	HG00641	HG01200	HG01200	3.135	1	unrelated
HG00641	HG00641	HG01205	HG01205	3.368	1	unrelated
HG00641	HG00641	HG01302	HG01302	4.382	1	unrelated
HG00731	HG00731	HG01048	HG01048	5.755	1	third-degree
HG00731	HG00731	HG01054	HG01054	3.995	1	unrelated
HG00731	HG00731	HG01080	HG01080	7.03	1	third-degree
HG00731	HG00731	HG01168	HG01168	3.912	1	unrelated
HG00731	HG00731	HG01312	HG01312	3.186	1	unrelated
HG00732	HG00732	HG01052	HG01052	4.339	1	unrelated
HG00732	HG00732	HG01077	HG01077	7.367	2	third-degree
HG00732	HG00732	HG01174	HG01174	6.637	1	third-degree
HG00732	HG00732	HG01302	HG01302	8.29	2	third-degree
HG00732	HG00732	HG01311	HG01311	3.74	1	unrelated
HG00732	HG00732	HG01323	HG01323	7.443	2	third-degree
HG00732	HG00732	HG01396	HG01396	4.221	1	unrelated
HG00734	HG00734	HG01054	HG01054	3.122	1	unrelated
HG00734	HG00734	HG01088	HG01088	10.266	3	second-degree
HG00736	HG00736	HG01061	HG01061	9.172	2	third-degree
HG00736	HG00736	HG01064	HG01064	3.231	1	unrelated
HG00736	HG00736	HG01162	HG01162	11.929	2	second-degree
HG00736	HG00736	HG01183	HG01183	8.17	2	third-degree
HG00736	HG00736	HG01188	HG01188	5.534	1	third-degree
HG00737	HG00737	HG00740	HG00740	3.648	1	unrelated
HG00737	HG00737	HG01108	HG01108	5.2	1	third-degree
HG00737	HG00737	HG01182	HG01182	3.106	1	unrelated
HG00737	HG00737	HG01188	HG01188	4.283	1	unrelated
HG00740	HG00740	HG01060	HG01060	10.052999999999999	2	second-degree
HG00740	HG00740	HG01064	HG01064	4.138	1	unrelated
HG00740	HG00740	HG01072	HG01072	12.613	3	second-degree
HG00740	HG00740	HG01083	HG01083	6.507	1	third-degree
HG00740	HG00740	HG01164	HG01164	8.222999999999999	2	third-degree
HG00740	HG00740	HG01174	HG01174	3.483	1	unrelated
HG00740	HG00740	HG01197	HG01197	4.138	1	unrelated
HG00742	HG00742	HG01188	HG01188	3.163	1	unrelated
HG00742	HG00742	HG01302	HG01302	6.676	2	third-degree
HG00742	HG00742	HG01312	HG01312	3.961	1	unrelated
HG00743	HG00743	HG01072	HG01072	6.777	1	third-degree
HG00743	HG00743	HG01079	HG01079	3.144	1	unrelated
HG00743	HG00743	HG01089	HG01089	3.494	1	unrelated
HG00743	HG00743	HG01095	HG01095	9.488	2	third-degree
HG00743	HG00743	HG01097	HG01097	4.882	1	unrelated
HG00743	HG00743	HG01098	HG01098	3.961	1	unrelated
HG00743	HG00743	HG01161	HG01161	3.609	1	unrelated
HG00743	HG00743	HG01162	HG01162	3.961	1	unrelated
HG00743	HG00743	HG01173	HG01173	9.558	2	third-degree
HG00743	HG00743	HG01183	HG01183	3.919	1	unrelated
HG01047	HG01047	HG01052	HG01052	3.328	1	unrelated
HG01047	HG01047	HG01054	HG01054	5.431	1	third-degree
HG01047	HG01047	HG01061	HG01061	4.108	1	unrelated
HG01047	HG01047	HG01064	HG01064	3.26	1	unrelated
HG01047	HG01047	HG01067	HG01067	3.773	1	unrelated
HG01047	HG01047	HG01177	HG01177	7.393000000000001	2	third-degree
HG01047	HG01047	HG01197	HG01197	3.072	1	unrelated
HG01047	HG01047	HG01393	HG01393	9.199	2	third-degree
HG01048	HG01048	HG01080	HG01080	12.561	2	second-degree
HG01048	HG01048	HG01413	HG01413	14.898	2	second-degree
HG01051	HG01051	HG01079	HG01079	6.71	1	third-degree
HG01051	HG01051	HG01098	HG01098	3.999	1	unrelated
HG01051	HG01051	HG01176	HG01176	4.63	1	unrelated
HG01052	HG01052	HG01052	HG01052	5.949	1	third-degree
HG01052	HG01052	HG01079	HG01079	8.184	2	third-degree
HG01052	HG01052	HG01101	HG01101	23.115000000000002	2	full-sibling
HG01052	HG01052	HG01121	HG01121	3.542	1	unrelated
HG01052	HG01052	HG01205	HG01205	3.358	1	unrelated
HG01052	HG01052	HG01311	HG01311	14.602	2	second-degree
HG01052	HG01052	HG01323	HG01323	6.308	2	third-degree
HG01052	HG01052	HG01326	HG01326	10.917	2	second-degree
HG01052	HG01052	HG01383	HG01383	7.02	2	third-degree
HG01052	HG01052	HG01392	HG01392	5.003	1	third-degree
HG01054	HG01054	HG01183	HG01183	8.475	1	third-degree
HG01054	HG01054	HG01323	HG01323	3.541	1	unrelated
HG01054	HG01054	HG01395	HG01395	4.048	1	unrelated
HG01055	HG01055	HG01060	HG01060	3.03	1	unrelated
HG01055	HG01055	HG01064	HG01064	4.063	1	unrelated
HG01055	HG01055	HG01072	HG01072	4.305	1	unrelated
HG01055	HG01055	HG01164	HG01164	4.305	1	unrelated
HG01055	HG01055	HG01174	HG01174	6.451	1	third-degree
HG01055	HG01055	HG01187	HG01187	5.222	1	third-degree
HG01055	HG01055	HG01197	HG01197	3.137	1	unrelated
HG01058	HG01058	HG01086	HG01086	3.639	1	unrelated
HG01058	HG01058	HG01111	HG01111	9.190000000000001	2	third-degree
HG01058	HG01058	HG01171	HG01171	4.47	1	unrelated
HG01060	HG01060	HG01064	HG01064	7.76	2	third-degree
HG01060	HG01060	HG01072	HG01072	24.926	5	full-sibling
HG01060	HG01060	HG01075	HG01075	3.006	1	unrelated
HG01060	HG01060	HG01083	HG01083	8.338	1	third-degree
HG01060	HG01060	HG01089	HG01089	3.469	1	unrelated
HG01060	HG01060	HG01105	HG01105	11.315000000000001	2	second-degree
HG01060	HG01060	HG01164	HG01164	17.25	3	second-degree
HG01060	HG01060	HG01187	HG01187	3.841	1	unrelated
HG01060	HG01060	HG01197	HG01197	5.254	1	third-degree
HG01060	HG01060	HG01204	HG01204	9.993	3	third-degree
HG01060	HG01060	HG01405	HG01405	3.475	1	unrelated
HG01061	HG01061	HG01070	HG01070	3.537	1	unrelated
HG01061	HG01061	HG01162	HG01162	4.894	1	unrelated
HG01061	HG01061	HG01305	HG01305	4.348	1	unrelated
HG01064	HG01064	HG01070	HG01070	3.231	1	unrelated
HG01064	HG01064	HG01072	HG01072	8.697000000000001	2	third-degree
HG01064	HG01064	HG01080	HG01080	3.282	1	unrelated
HG01064	HG01064	HG01164	HG01164	5.509	1	third-degree
HG01064	HG01064	HG01197	HG01197	20.105	5	full-sibling
HG01064	HG01064	HG01412	HG01412	4.604	1	unrelated
HG01066	HG01066	HG01073	HG01073	3.483	1	unrelated
HG01066	HG01066	HG01101	HG01101	6.893	1	third-degree
HG01066	HG01066	HG01167	HG01167	3.974	1	unrelated
HG01066	HG01066	HG01197	HG01197	3.472	1	unrelated
HG01066	HG01066	HG01303	HG01303	4.44	1	unrelated
HG01066	HG01066	HG01414	HG01414	8.848	1	third-degree
HG01067	HG01067	HG01080	HG01080	9.149	1	third-degree
HG01067	HG01067	HG01375	HG01375	3.501	1	unrelated
HG01067	HG01067	HG01403	HG01403	7.504	1	third-degree
HG01069	HG01069	HG01083	HG01083	3.69	1	unrelated
HG01069	HG01069	HG01102	HG01102	4.779	1	unrelated
HG01069	HG01069	HG01162	HG01162	4.021	1	unrelated
HG01069	HG01069	HG01164	HG01164	3.735	1	unrelated
HG01069	HG01069	HG01413	HG01413	7.013	1	third-degree
HG01070	HG01070	HG01089	HG01089	3.493	1	unrelated
HG01070	HG01070	HG01171	HG01171	6.493	2	third-degree
HG01070	HG01070	HG01182	HG01182	4.79	1	unrelated
HG01070	HG01070	HG01191	HG01191	4.167	1	unrelated
HG01070	HG01070	HG01412	HG01412	5.449	1	third-degree
HG01070	HG01070	HG01413	HG01413	3.246	1	unrelated
HG01072	HG01072	HG01073	HG01073	8.819	1	third-degree
HG01072	HG01072	HG01083	HG01083	5.12	1	third-degree
HG01072	HG01072	HG01089	HG01089	10.245999999999999	2	second-degree
HG01072	HG01072	HG01164	HG01164	23.598	3	full-sibling
HG01072	HG01072	HG01173	HG01173	4.076	1	unrelated
HG01072	HG01072	HG01183	HG01183	7.821000000000001	2	third-degree
HG01072	HG01072	HG01187	HG01187	5.116	1	third-degree
HG01072	HG01072	HG01197	HG01197	8.972	1	third-degree
HG01072	HG01072	HG01204	HG01204	11.204	1	second-degree
HG01073	HG01073	HG01089	HG01089	4.183	1	unrelated
HG01073	HG01073	HG01095	HG01095	3.024	1	unrelated
HG01073	HG01073	HG01162	HG01162	3.766	1	unrelated
HG01073	HG01073	HG01183	HG01183	3.091	1	unrelated
HG01073	HG01073	HG01204	HG01204	7.363	1	third-degree
HG01073	HG01073	HG01247	HG01247	9.957	2	third-degree
HG01073	HG01073	HG01325	HG01325	3.225	1	unrelated
HG01073	HG01073	HG01403	HG01403	4.719	1	unrelated
HG01073	HG01073	HG01413	HG01413	3.932	1	unrelated
HG01077	HG01077	HG01247	HG01247	6.315	1	third-degree
HG01077	HG01077	HG01396	HG01396	6.27	1	third-degree
HG01079	HG01079	HG01111	HG01111	7.106	1	third-degree
HG01079	HG01079	HG01311	HG01311	4.092	1	unrelated
HG01079	HG01079	HG01326	HG01326	3.067	1	unrelated
HG01080	HG01080	HG01082	HG01082	6.014	2	third-degree
HG01080	HG01080	HG01182	HG01182	5.79	1	third-degree
HG01080	HG01080	HG01187	HG01187	3.007	1	unrelated
HG01080	HG01080	HG01312	HG01312	3.186	1	unrelated
HG01080	HG01080	HG01403	HG01403	4.511	1	unrelated
HG01082	HG01082	HG01082	HG01082	19.993000000000002	2	second-degree
HG01082	HG01082	HG01104	HG01104	4.18	1	unrelated
HG01082	HG01082	HG01164	HG01164	3.172	1	unrelated
HG01082	HG01082	HG01168	HG01168	8.946	2	third-degree
HG01082	HG01082	HG01171	HG01171	9.959	2	third-degree
HG01082	HG01082	HG01187	HG01187	28.944000000000003	4	full-sibling
HG01082	HG01082	HG01413	HG01413	4.064	1	unrelated
HG01083	HG01083	HG01164	HG01164	4.741	1	unrelated
HG01083	HG01083	HG01191	HG01191	6.491	1	third-degree
HG01083	HG01083	HG01413	HG01413	3.149	1	unrelated
HG01085	HG01085	HG01094	HG01094	14.51	2	second-degree
HG01085	HG01085	HG01170	HG01170	3.011	1	unrelated
HG01086	HG01086	HG01088	HG01088	4.565	1	unrelated
HG01086	HG01086	HG01095	HG01095	3.612	1	unrelated
HG01086	HG01086	HG01097	HG01097	5.351	1	third-degree
HG01086	HG01086	HG01164	HG01164	4.68	1	unrelated
HG01086	HG01086	HG01167	HG01167	4.305	1	unrelated
HG01086	HG01086	HG01174	HG01174	3.484	1	unrelated
HG01086	HG01086	HG01177	HG01177	4.492	1	unrelated
HG01086	HG01086	HG01191	HG01191	10.631	2	second-degree
HG01089	HG01089	HG01095	HG01095	4.884	1	unrelated
HG01089	HG01089	HG01097	HG01097	3.077	1	unrelated
HG01089	HG01089	HG01170	HG01170	3.41	1	unrelated
HG01089	HG01089	HG01204	HG01204	6.029	1	third-degree
HG01094	HG01094	HG01098	HG01098	5.507	1	third-degree
HG01094	HG01094	HG01102	HG01102	7.9350000000000005	2	third-degree
HG01094	HG01094	HG01167	HG01167	6.007	1	third-degree
HG01094	HG01094	HG01182	HG01182	9.188	1	third-degree
HG01094	HG01094	HG01198	HG01198	3.336	1	unrelated
HG01095	HG01095	HG01095	HG01095	7.388	1	third-degree
HG01095	HG01095	HG01173	HG01173	16.363	2	second-degree
HG01095	HG01095	HG01183	HG01183	13.455	3	second-degree
HG01095	HG01095	HG01302	HG01302	3.607	1	unrelated
HG01097	HG01097	HG01177	HG01177	6.562	1	third-degree
HG01097	HG01097	HG01187	HG01187	3.139	1	unrelated
HG01097	HG01097	HG01405	HG01405	6.655	1	third-degree
HG01098	HG01098	HG01171	HG01171	5.243	1	third-degree
HG01098	HG01098	HG01177	HG01177	5.243	1	third-degree
HG01098	HG01098	HG01197	HG01197	4.23	1	unrelated
HG01098	HG01098	HG01326	HG01326	15.498	2	second-degree
HG01101	HG01101	HG01198	HG01198	4.689	1	unrelated
HG01101	HG01101	HG01247	HG01247	3.412	1	unrelated
HG01101	HG01101	HG01311	HG01311	3.772	1	unrelated
HG01101	HG01101	HG01323	HG01323	4.396	1	unrelated
HG01101	HG01101	HG01392	HG01392	4.723	1	unrelated
HG01102	HG01102	HG01173	HG01173	3.869	1	unrelated
HG01102	HG01102	HG01174	HG01174	17.53	3	second-degree
HG01102	HG01102	HG01198	HG01198	3.719	1	unrelated
HG01102	HG01102	HG01414	HG01414	3.975	1	unrelated
HG01105	HG01105	HG01325	HG01325	3.205	1	unrelated
HG01105	HG01105	HG01405	HG01405	3.432	1	unrelated
HG01107	HG01107	HG01176	HG01176	4.216	1	unrelated
HG01107	HG01107	HG01248	HG01248	4.475	1	unrelated
HG01111	HG01111	HG01171	HG01171	4.005	1	unrelated
HG01112	HG01112	HG01254	HG01254	3.496	1	unrelated
HG01112	HG01112	HG01275	HG01275	3.835	1	unrelated
HG01112	HG01112	HG01281	HG01281	10.454	2	second-degree
HG01112	HG01112	HG01357	HG01357	3.835	1	unrelated
HG01112	HG01112	HG01437	HG01437	5.413	1	third-degree
HG01112	HG01112	HG01495	HG01495	8.190000000000001	2	third-degree
HG01113	HG01113	HG01140	HG01140	3.604	1	unrelated
HG01113	HG01113	HG01269	HG01269	4.403	1	unrelated
HG01113	HG01113	HG01351	HG01351	7.892999999999999	2	third-degree
HG01119	HG01119	HG01139	HG01139	11.448	1	second-degree
HG01121	HG01121	HG01272	HG01272	3.18	1	unrelated
HG01121	HG01121	HG01345	HG01345	3.436	1	unrelated
HG01124	HG01124	HG01148	HG01148	3.5	1	unrelated
HG01124	HG01124	HG01253	HG01253	10.864	3	second-degree
HG01124	HG01124	HG01431	HG01431	3.306	1	unrelated
HG01124	HG01124	HG01498	HG01498	3.144	1	unrelated
HG01125	HG01125	HG01250	HG01250	3.24	1	unrelated
HG01125	HG01125	HG01254	HG01254	3.723	1	unrelated
HG01125	HG01125	HG01378	HG01378	3.582	1	unrelated
HG01130	HG01130	HG01281	HG01281	3.186	1	unrelated
HG01130	HG01130	HG01444	HG01444	5.195	1	third-degree
HG01130	HG01130	HG01447	HG01447	4.213	1	unrelated
HG01130	HG01130	HG01485	HG01485	3.619	1	unrelated
HG01133	HG01133	HG01140	HG01140	11.669	3	second-degree
HG01133	HG01133	HG01351	HG01351	3.216	1	unrelated
HG01133	HG01133	HG01353	HG01353	3.743	1	unrelated
HG01133	HG01133	HG01356	HG01356	8.516	1	third-degree
HG01133	HG01133	HG01366	HG01366	9.652999999999999	2	third-degree
HG01134	HG01134	HG01259	HG01259	5.658	1	third-degree
HG01134	HG01134	HG01389	HG01389	4.144	1	unrelated
HG01134	HG01134	HG01492	HG01492	23.429000000000002	4	full-sibling
HG01134	HG01134	HG01550	HG01550	5.545	1	third-degree
HG01136	HG01136	HG01378	HG01378	7.124	1	third-degree
HG01137	HG01137	HG01251	HG01251	9.261	2	third-degree
HG01137	HG01137	NA19723	NA19723	3.322	1	unrelated
HG01139	HG01139	HG01551	HG01551	10.469	2	second-degree
HG01140	HG01140	HG01277	HG01277	3.457	1	unrelated
HG01140	HG01140	HG01366	HG01366	3.245	1	unrelated
HG01148	HG01148	HG01254	HG01254	4.82	1	unrelated
HG01148	HG01148	HG01345	HG01345	6.229	1	third-degree
HG01148	HG01148	HG01350	HG01350	9.43	2	third-degree
HG01148	HG01148	HG01495	HG01495	4.654	1	unrelated
HG01148	HG01148	HG01498	HG01498	8.11	2	third-degree
HG01149	HG01149	HG01260	HG01260	3.166	1	unrelated
HG01149	HG01149	HG01468	HG01468	3.051	1	unrelated
HG01161	HG01161	HG01190	HG01190	4.628	1	unrelated
HG01161	HG01161	HG01303	HG01303	3.793	1	unrelated
HG01161	HG01161	HG01312	HG01312	3.954	1	unrelated
HG01162	HG01162	HG01413	HG01413	3.142	1	unrelated
HG01164	HG01164	HG01168	HG01168	7.583	2	third-degree
HG01164	HG01164	HG01171	HG01171	3.172	1	unrelated
HG01164	HG01164	HG01177	HG01177	3.62	1	unrelated
HG01164	HG01164	HG01187	HG01187	5.116	1	third-degree
HG01164	HG01164	HG01191	HG01191	3.124	1	unrelated
HG01164	HG01164	HG01197	HG01197	8.972	1	third-degree
HG01164	HG01164	HG01413	HG01413	3.972	1	unrelated
HG01167	HG01167	HG01182	HG01182	5.304	1	third-degree
HG01167	HG01167	HG01190	HG01190	9.977	2	third-degree
HG01167	HG01167	HG01191	HG01191	7.644	1	third-degree
HG01167	HG01167	HG01303	HG01303	7.164999999999999	2	third-degree
HG01168	HG01168	HG01171	HG01171	11.219000000000001	2	second-degree
HG01168	HG01168	HG01413	HG01413	6.816000000000001	2	third-degree
HG01170	HG01170	HG01393	HG01393	6.725	2	third-degree
HG01171	HG01171	HG01177	HG01177	7.14	1	third-degree
HG01171	HG01171	HG01413	HG01413	3.2	1	unrelated
HG01173	HG01173	HG01183	HG01183	3.919	1	unrelated
HG01173	HG01173	HG01204	HG01204	9.648	2	third-degree
HG01173	HG01173	HG01302	HG01302	5.183	1	third-degree
HG01174	HG01174	HG01414	HG01414	3.975	1	unrelated
HG01176	HG01176	HG01248	HG01248	3.146	1	unrelated
HG01177	HG01177	HG01187	HG01187	4.445	1	unrelated
HG01177	HG01177	HG01191	HG01191	3.124	1	unrelated
HG01177	HG01177	HG01286	HG01286	3.069	1	unrelated
HG01177	HG01177	HG01395	HG01395	3.063	1	unrelated
HG01183	HG01183	HG01204	HG01204	3.091	1	unrelated
HG01183	HG01183	HG01241	HG01241	3.822	1	unrelated
HG01183	HG01183	HG01395	HG01395	4.048	1	unrelated
HG01183	HG01183	HG01412	HG01412	3.629	1	unrelated
HG01187	HG01187	HG01303	HG01303	4.35	1	unrelated
HG01187	HG01187	HG01395	HG01395	7.775	2	third-degree
HG01188	HG01188	HG01191	HG01191	3.713	1	unrelated
HG01188	HG01188	HG01247	HG01247	3.757	1	unrelated
HG01188	HG01188	HG01312	HG01312	3.882	1	unrelated
HG01188	HG01188	HG01395	HG01395	3.957	1	unrelated
HG01188	HG01188	HG02012	HG02012	3.685	1	unrelated
HG01190	HG01190	HG01191	HG01191	4.983	1	unrelated
HG01190	HG01190	HG01200	HG01200	6.125	1	third-degree
HG01190	HG01190	HG01303	HG01303	9.981	2	third-degree
HG01190	HG01190	HG01362	HG01362	3.074	1	unrelated
HG01191	HG01191	HG01303	HG01303	4.132	1	unrelated
HG01191	HG01191	HG01412	HG01412	6.053	1	third-degree
HG01198	HG01198	HG01247	HG01247	3.201	1	unrelated
HG01205	HG01205	HG01311	HG01311	3.546	1	unrelated
HG01248	HG01248	HG01412	HG01412	3.041	1	unrelated
HG01251	HG01251	HG01271	HG01271	5.545	1	third-degree
HG01251	HG01251	HG01275	HG01275	8.569	1	third-degree
HG01251	HG01251	HG01359	HG01359	3.131	1	unrelated
HG01251	HG01251	HG01479	HG01479	3.491	1	unrelated
HG01253	HG01253	HG01378	HG01378	5.154	1	third-degree
HG01254	HG01254	HG01350	HG01350	6.561	1	third-degree
HG01256	HG01256	HG01383	HG01383	4.01	1	unrelated
HG01256	HG01256	HG01438	HG01438	8.115	2	third-degree
HG01257	HG01257	HG01280	HG01280	9.668	2	third-degree
HG01257	HG01257	HG01431	HG01431	5.514	1	third-degree
HG01257	HG01257	HG01485	HG01485	3.571	1	unrelated
HG01259	HG01259	HG01437	HG01437	8.712	2	third-degree
HG01259	HG01259	HG01447	HG01447	8.663	2	third-degree
HG01259	HG01259	HG01492	HG01492	5.658	1	third-degree
HG01260	HG01260	HG01374	HG01374	13.789	3	second-degree
HG01260	HG01260	HG01468	HG01468	11.142	2	second-degree
HG01260	HG01260	HG01550	HG01550	9.352	2	third-degree
HG01269	HG01269	HG01351	HG01351	5.793	1	third-degree
HG01269	HG01269	HG01492	HG01492	3.332	1	unrelated
HG01271	HG01271	HG01345	HG01345	5.078	1	third-degree
HG01271	HG01271	HG01357	HG01357	6.491	1	third-degree
HG01271	HG01271	HG01389	HG01389	3.916	1	unrelated
HG01272	HG01272	HG01354	HG01354	4.605	1	unrelated
HG01275	HG01275	HG01280	HG01280	5.472	1	third-degree
HG01275	HG01275	HG01357	HG01357	5.452	1	third-degree
HG01275	HG01275	HG01432	HG01432	4.734	1	unrelated
HG01277	HG01277	HG01353	HG01353	3.163	1	unrelated
HG01277	HG01277	HG01372	HG01372	3.046	1	unrelated
HG01277	HG01277	HG01465	HG01465	3.549	1	unrelated
HG01277	HG01277	HG01468	HG01468	7.843999999999999	2	third-degree
HG01280	HG01280	HG01383	HG01383	4.882	1	unrelated
HG01280	HG01280	HG01455	HG01455	12.788	2	second-degree
HG01280	HG01280	HG01468	HG01468	4.548	1	unrelated
HG01280	HG01280	HG01497	HG01497	20.153	3	full-sibling
HG01281	HG01281	HG01377	HG01377	6.774	2	third-degree
HG01284	HG01284	HG01491	HG01491	6.189	1	third-degree
HG01284	HG01284	HG01492	HG01492	7.448	1	third-degree
HG01284	HG01284	NA19794	NA19794	3.392	1	unrelated
HG01302	HG01302	HG01323	HG01323	5.148	1	third-degree
HG01302	HG01302	HG01405	HG01405	3.193	1	unrelated
HG01305	HG01305	HG01377	HG01377	3.175	1	unrelated
HG01308	HG01308	HG01362	HG01362	3.171	1	unrelated
HG01311	HG01311	HG01323	HG01323	7.4399999999999995	2	third-degree
HG01311	HG01311	HG01326	HG01326	4.912	1	unrelated
HG01311	HG01311	HG01383	HG01383	3.564	1	unrelated
HG01323	HG01323	HG01392	HG01392	10.576	3	second-degree
HG01326	HG01326	HG01383	HG01383	3.921	1	unrelated
HG01345	HG01345	HG01357	HG01357	5.078	1	third-degree
HG01345	HG01345	HG01495	HG01495	5.993	1	third-degree
HG01348	HG01348	HG01356	HG01356	5.768	1	third-degree
HG01348	HG01348	HG01497	HG01497	7.939	1	third-degree
HG01350	HG01350	HG01359	HG01359	3.971	1	unrelated
HG01350	HG01350	HG01377	HG01377	3.631	1	unrelated
HG01350	HG01350	HG01495	HG01495	5.382	1	third-degree
HG01351	HG01351	HG01468	HG01468	5.311	1	third-degree
HG01351	HG01351	HG01550	HG01550	5.311	1	third-degree
HG01354	HG01354	HG01354	HG01354	5.526	1	third-degree
HG01354	HG01354	HG01389	HG01389	3.292	1	unrelated
HG01354	HG01354	HG01465	HG01465	3.356	1	unrelated
HG01354	HG01354	HG01479	HG01479	6.406	1	third-degree
HG01354	HG01354	HG01550	HG01550	5.545	1	third-degree
HG01356	HG01356	HG01377	HG01377	3.431	1	unrelated
HG01356	HG01356	HG01474	HG01474	3.616	1	unrelated
HG01359	HG01359	HG01377	HG01377	7.202	2	third-degree
HG01359	HG01359	HG01432	HG01432	4.166	1	unrelated
HG01359	HG01359	HG01437	HG01437	5.401	1	third-degree
HG01359	HG01359	HG01438	HG01438	9.262	2	third-degree
HG01359	HG01359	HG01443	HG01443	4.219	1	unrelated
HG01359	HG01359	HG01489	HG01489	9.36	2	third-degree
HG01360	HG01360	HG01474	HG01474	8.471	1	third-degree
HG01360	HG01360	HG01488	HG01488	7.799	1	third-degree
HG01363	HG01363	HG01491	HG01491	3.364	1	unrelated
HG01366	HG01366	HG01375	HG01375	3.213	1	unrelated
HG01369	HG01369	HG01369	HG01369	5.636	1	third-degree
HG01369	HG01369	HG01438	HG01438	6.928	1	third-degree
HG01372	HG01372	HG01491	HG01491	8.425	2	third-degree
HG01375	HG01375	HG01447	HG01447	3.133	1	unrelated
HG01378	HG01378	HG01384	HG01384	4.076	1	unrelated
HG01383	HG01383	HG01465	HG01465	12.96	2	second-degree
HG01383	HG01383	HG01468	HG01468	5.828	1	third-degree
HG01389	HG01389	HG01437	HG01437	3.211	1	unrelated
HG01389	HG01389	HG01479	HG01479	3.292	1	unrelated
HG01389	HG01389	HG01550	HG01550	4.144	1	unrelated
HG01432	HG01432	HG01437	HG01437	3.567	1	unrelated
HG01437	HG01437	HG01456	HG01456	3.54	1	unrelated
